route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
MX,5,42721,MedExpress to UM Hospital,,0,3712,746,1,2
MX,5,42710,MedExpress to UM Hospital,,0,3705,747,1,2
MX,5,42709,MedExpress to UM Hospital,,0,3706,747,1,2
MX,5,42708,MedExpress to UM Hospital,,0,3711,748,1,2
MX,5,42707,MedExpress to UM Hospital,,0,3712,748,1,2
MX,5,42706,MedExpress to UM Hospital,,0,3706,748,1,2
MX,5,42705,MedExpress to UM Hospital,,0,3711,748,1,2
MX,5,42704,MedExpress to UM Hospital,,0,3712,748,1,2
MX,5,42703,MedExpress to UM Hospital,,0,3706,748,1,2
MX,5,42702,MedExpress to UM Hospital,,0,3711,748,1,2
MX,5,42701,MedExpress to UM Hospital,,0,3712,748,1,2
MX,5,42700,MedExpress to UM Hospital,,0,3706,748,1,2
MX,5,42699,MedExpress to UM Hospital,,0,3711,748,1,2
MX,5,42698,MedExpress to UM Hospital,,0,3712,748,1,2
MX,5,42697,MedExpress to UM Hospital,,0,3710,748,1,2
MX,5,42696,MedExpress to UM Hospital,,0,3710,748,1,2
MX,5,42695,MedExpress to UM Hospital,,0,3710,748,1,2
MX,5,42694,MedExpress to UM Hospital,,0,3710,748,1,2
MX,5,42720,MedExpress to UM Hospital,,0,3718,748,1,2
MX,5,42693,MedExpress to UM Hospital,,0,3709,748,1,2
MX,5,42692,MedExpress to UM Hospital,,0,3709,748,1,2
MX,5,42691,MedExpress to UM Hospital,,0,3709,748,1,2
MX,5,42690,MedExpress to UM Hospital,,0,3709,748,1,2
MX,5,42689,MedExpress to UM Hospital,,0,3709,748,1,2
MX,5,42688,MedExpress to UM Hospital,,0,3709,748,1,2
MX,5,42687,MedExpress to UM Hospital,,0,3713,748,1,2
MX,5,42686,MedExpress to UM Hospital,,0,3714,748,1,2
MX,5,42685,MedExpress to UM Hospital,,0,3709,748,1,2
MX,5,42684,MedExpress to UM Hospital,,0,3713,748,1,2
MX,5,42683,MedExpress to UM Hospital,,0,3714,748,1,2
MX,5,42682,MedExpress to UM Hospital,,0,3709,748,1,2
MX,5,42681,MedExpress to UM Hospital,,0,3713,748,1,2
MX,5,42680,MedExpress to UM Hospital,,0,3714,748,1,2
MX,3705,42679,MedExpress to UM Hospital,,0,3557,748,1,2
MX,3405,42656,MedExpress to UM Hospital,,0,3556,748,1,2
MX,3405,42655,MedExpress to UM Hospital,,0,3558,748,1,2
MX,3705,42678,MedExpress to UM Hospital,,0,3562,748,1,2
MX,5,42677,MedExpress to UM Hospital,,0,3713,748,1,2
MX,5,42676,MedExpress to UM Hospital,,0,3714,748,1,2
MX,5,42675,MedExpress to UM Hospital,,0,3717,748,1,2
MX,5,42674,MedExpress to UM Hospital,,0,3713,748,1,2
MX,5,42673,MedExpress to UM Hospital,,0,3714,748,1,2
MX,5,42672,MedExpress to UM Hospital,,0,3717,748,1,2
MX,5,42671,MedExpress to UM Hospital,,0,3713,748,1,2
MX,5,42670,MedExpress to UM Hospital,,0,3714,748,1,2
MX,5,42669,MedExpress to UM Hospital,,0,3717,748,1,2
MX,5,42668,MedExpress to UM Hospital,,0,3732,748,1,2
MX,5,42667,MedExpress to UM Hospital,,0,3716,748,1,2
MX,5,42666,MedExpress to UM Hospital,,0,3714,748,1,2
MX,5,42665,MedExpress to UM Hospital,,0,3732,748,1,2
MX,5,42664,MedExpress to UM Hospital,,0,3716,748,1,2
MX,5,42663,MedExpress to UM Hospital,,0,3714,748,1,2
MX,5,42662,MedExpress to UM Hospital,,0,3732,748,1,2
MX,5,42661,MedExpress to UM Hospital,,0,3716,748,1,2
NE,5,42771,NorthEast Shuttle to Dominos Farm via VA,,0,3719,751,1,2
NE,5,42746,NorthEast Shuttle to Dominos Farm,,0,3720,752,1,2
NE,5,42770,NorthEast Shuttle to Dominos Farm via VA,,0,3721,751,1,2
NE,5,42745,NorthEast Shuttle to Dominos Farm,,0,3722,752,1,2
NE,5,42769,NorthEast Shuttle to Dominos Farm via VA,,0,3723,751,1,2
NE,5,42744,NorthEast Shuttle to Dominos Farm,,0,3719,752,1,2
NE,5,42768,NorthEast Shuttle to Dominos Farm via VA,,0,3720,751,1,2
NE,5,42743,NorthEast Shuttle to Dominos Farm,,0,3721,752,1,2
NE,5,42767,NorthEast Shuttle to Dominos Farm via VA,,0,3722,751,1,2
NE,5,42742,NorthEast Shuttle to Dominos Farm,,0,3723,752,1,2
NE,5,42766,NorthEast Shuttle to Dominos Farm via VA,,0,3719,751,1,2
NE,5,42741,NorthEast Shuttle to Dominos Farm,,0,3720,752,1,2
NE,5,42765,NorthEast Shuttle to Dominos Farm via VA,,0,3721,751,1,2
NE,5,42740,NorthEast Shuttle to Dominos Farm,,0,3722,752,1,2
NE,5,42764,NorthEast Shuttle to Dominos Farm via VA,,0,3723,751,1,2
NE,5,42739,NorthEast Shuttle to Dominos Farm,,0,3719,752,1,2
NE,5,42763,NorthEast Shuttle to Dominos Farm via VA,,0,3720,751,1,2
NE,5,42738,NorthEast Shuttle to Dominos Farm,,0,3721,752,1,2
NE,5,42762,NorthEast Shuttle to Dominos Farm via VA,,0,3722,751,1,2
NE,5,42737,NorthEast Shuttle to Dominos Farm,,0,3723,752,1,2
NE,5,42761,NorthEast Shuttle to Dominos Farm via VA,,0,3719,751,1,2
NE,5,42736,NorthEast Shuttle to Dominos Farm,,0,3720,752,1,2
NE,5,42760,NorthEast Shuttle to Dominos Farm via VA,,0,3721,751,1,2
NE,5,42735,NorthEast Shuttle to Dominos Farm,,0,3722,752,1,2
NE,5,42759,NorthEast Shuttle to Dominos Farm via VA,,0,3723,751,1,2
NE,5,42734,NorthEast Shuttle to Dominos Farm,,0,3719,752,1,2
NE,5,42758,NorthEast Shuttle to Dominos Farm via VA,,0,3720,751,1,2
NE,5,42733,NorthEast Shuttle to Dominos Farm,,0,3721,752,1,2
NE,5,42757,NorthEast Shuttle to Dominos Farm via VA,,0,3722,751,1,2
NE,5,42732,NorthEast Shuttle to Dominos Farm,,0,3723,752,1,2
NE,5,42756,NorthEast Shuttle to Dominos Farm via VA,,0,3719,751,1,2
NE,5,42731,NorthEast Shuttle to Dominos Farm,,0,3720,752,1,2
NE,5,42755,NorthEast Shuttle to Dominos Farm via VA,,0,3721,751,1,2
NE,5,42730,NorthEast Shuttle to Dominos Farm,,0,3722,752,1,2
NE,5,42754,NorthEast Shuttle to Dominos Farm via VA,,0,3723,751,1,2
NE,5,42729,NorthEast Shuttle to Dominos Farm,,0,3719,752,1,2
NE,5,42753,NorthEast Shuttle to Dominos Farm via VA,,0,3720,751,1,2
NE,5,42728,NorthEast Shuttle to Dominos Farm,,0,3721,752,1,2
NE,5,42752,NorthEast Shuttle to Dominos Farm via VA,,0,3722,751,1,2
NE,5,42727,NorthEast Shuttle to Dominos Farm,,0,3723,752,1,2
NE,5,42751,NorthEast Shuttle to Dominos Farm via VA,,0,3719,751,1,2
NE,5,42726,NorthEast Shuttle to Dominos Farm,,0,3720,752,1,2
NE,5,42750,NorthEast Shuttle to Dominos Farm via VA,,0,3721,751,1,2
NE,5,42725,NorthEast Shuttle to Dominos Farm,,0,3722,752,1,2
